id,stream_name,analysis_name,display_name,alert_type,timestamp,message,image,video_name,ignored,last_update
12400,CAM09,3,RTSP6,逆走,1728427856,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM09_2024-10-09_07:50:56+0900.jpg,CAM09_ReverseRun_2024-10-09_07:50:56+0900.mp4,0,2024-10-09 07:50:59
12401,CAM19,3,HLS9,逆走,1728427856,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM19_2024-10-09_07:50:56+0900.jpg,CAM19_ReverseRun_2024-10-09_07:50:56+0900.mp4,0,2024-10-09 07:51:00
12402,CAM16,3,HLS6,逆走,1728427859,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM16_2024-10-09_07:50:59+0900.jpg,CAM16_ReverseRun_2024-10-09_07:50:59+0900.mp4,0,2024-10-09 07:51:02
12403,CAM02,3,HLS1,逆走,1728427860,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM02_2024-10-09_07:51:00+0900.jpg,CAM02_ReverseRun_2024-10-09_07:51:00+0900.mp4,0,2024-10-09 07:51:03
12404,CAM25,4,HLS15,避走,1728427860,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM25_2024-10-09_07:51:00+0900.jpg,CAM25_FrequentLaneChange_2024-10-09_07:51:00+0900.mp4,0,2024-10-09 07:51:04
12405,CAM23,3,HLS13,逆走,1728427862,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM23_2024-10-09_07:51:02+0900.jpg,CAM23_ReverseRun_2024-10-09_07:51:02+0900.mp4,0,2024-10-09 07:51:05
12406,CAM08,4,RTSP5,避走,1728427865,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM08_2024-10-09_07:51:05+0900.jpg,CAM08_FrequentLaneChange_2024-10-09_07:51:05+0900.mp4,0,2024-10-09 07:51:08
12407,CAM06,4,RTSP3,避走,1728427866,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM06_2024-10-09_07:51:06+0900.jpg,CAM06_FrequentLaneChange_2024-10-09_07:51:06+0900.mp4,0,2024-10-09 07:51:11
12408,CAM02,4,HLS1,避走,1728427868,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM02_2024-10-09_07:51:08+0900.jpg,CAM02_FrequentLaneChange_2024-10-09_07:51:08+0900.mp4,0,2024-10-09 07:51:11
12409,CAM13,3,RTSP10,逆走,1728427887,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM13_2024-10-09_07:51:27+0900.jpg,CAM13_ReverseRun_2024-10-09_07:51:27+0900.mp4,0,2024-10-09 07:51:30
12410,CAM04,4,HLS2,避走,1728427903,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM04_2024-10-09_07:51:43+0900.jpg,CAM04_FrequentLaneChange_2024-10-09_07:51:43+0900.mp4,0,2024-10-09 07:51:47
12411,CAM23,4,HLS13,避走,1728427903,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM23_2024-10-09_07:51:43+0900.jpg,CAM23_FrequentLaneChange_2024-10-09_07:51:43+0900.mp4,0,2024-10-09 07:51:48
12412,CAM01,4,RTSP1,避走,1728427915,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM01_2024-10-09_07:51:55+0900.jpg,CAM01_FrequentLaneChange_2024-10-09_07:51:55+0900.mp4,0,2024-10-09 07:51:58
12413,CAM24,4,HLS14,避走,1728427916,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM24_2024-10-09_07:51:56+0900.jpg,CAM24_FrequentLaneChange_2024-10-09_07:51:56+0900.mp4,0,2024-10-09 07:52:00
12414,CAM19,4,HLS9,避走,1728427924,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM19_2024-10-09_07:52:04+0900.jpg,CAM19_FrequentLaneChange_2024-10-09_07:52:04+0900.mp4,0,2024-10-09 07:52:07
12415,CAM11,4,RTSP8,避走,1728427930,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM11_2024-10-09_07:52:10+0900.jpg,CAM11_FrequentLaneChange_2024-10-09_07:52:10+0900.mp4,0,2024-10-09 07:52:13
12416,CAM22,3,HLS12,逆走,1728427960,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM22_2024-10-09_07:52:40+0900.jpg,CAM22_ReverseRun_2024-10-09_07:52:40+0900.mp4,0,2024-10-09 07:52:44
12417,CAM04,3,HLS2,逆走,1728427969,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM04_2024-10-09_07:52:49+0900.jpg,CAM04_ReverseRun_2024-10-09_07:52:49+0900.mp4,0,2024-10-09 07:52:52
12418,CAM25,3,HLS15,逆走,1728427986,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM25_2024-10-09_07:53:06+0900.jpg,CAM25_ReverseRun_2024-10-09_07:53:06+0900.mp4,0,2024-10-09 07:53:09
12419,CAM08,4,RTSP5,避走,1728427999,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM08_2024-10-09_07:53:19+0900.jpg,CAM08_FrequentLaneChange_2024-10-09_07:53:19+0900.mp4,0,2024-10-09 07:53:22
12420,CAM06,4,RTSP3,避走,1728428000,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM06_2024-10-09_07:53:20+0900.jpg,CAM06_FrequentLaneChange_2024-10-09_07:53:20+0900.mp4,0,2024-10-09 07:53:23
12421,CAM18,3,HLS8,逆走,1728428000,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM18_2024-10-09_07:53:20+0900.jpg,CAM18_ReverseRun_2024-10-09_07:53:20+0900.mp4,0,2024-10-09 07:53:24
12422,CAM12,4,RTSP9,避走,1728428002,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM12_2024-10-09_07:53:22+0900.jpg,CAM12_FrequentLaneChange_2024-10-09_07:53:22+0900.mp4,0,2024-10-09 07:53:25
12423,CAM18,4,HLS8,避走,1728428002,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM18_2024-10-09_07:53:22+0900.jpg,CAM18_FrequentLaneChange_2024-10-09_07:53:22+0900.mp4,0,2024-10-09 07:53:27
12424,CAM24,4,HLS14,避走,1728428007,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM24_2024-10-09_07:53:27+0900.jpg,CAM24_FrequentLaneChange_2024-10-09_07:53:27+0900.mp4,0,2024-10-09 07:53:31
12425,CAM20,4,HLS10,避走,1728428007,避走#15秒間に5台以上の車線変更を検知しました,/data/tce/alerts/images/CAM20_2024-10-09_07:53:27+0900.jpg,CAM20_FrequentLaneChange_2024-10-09_07:53:27+0900.mp4,0,2024-10-09 07:53:31
12426,CAM03,3,RTSP2,逆走,1728428038,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM03_2024-10-09_07:53:58+0900.jpg,CAM03_ReverseRun_2024-10-09_07:53:58+0900.mp4,0,2024-10-09 07:54:03
12427,CAM03,3,RTSP2,逆走,1728428148,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM03_2024-10-09_07:55:48+0900.jpg,CAM03_ReverseRun_2024-10-09_07:55:48+0900.mp4,0,2024-10-09 07:55:51
12428,CAM12,3,RTSP9,逆走,1728428148,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM12_2024-10-09_07:55:48+0900.jpg,CAM12_ReverseRun_2024-10-09_07:55:48+0900.mp4,0,2024-10-09 07:55:53
12429,CAM19,3,HLS9,逆走,1728428157,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM19_2024-10-09_07:55:57+0900.jpg,CAM19_ReverseRun_2024-10-09_07:55:57+0900.mp4,0,2024-10-09 07:56:01
12430,CAM11,3,RTSP8,逆走,1728428164,逆走#3秒以上の逆走を検知しました,/data/tce/alerts/images/CAM11_2024-10-09_07:56:04+0900.jpg,CAM11_ReverseRun_2024-10-09_07:56:04+0900.mp4,0,2024-10-09 07:56:09
